small_rank,rank,symbol,base_asset,quote_asset,status,quote_volume_24h,trade_count_24h
1,1,BTCUSDT,BTC,USDT,TRADING,502322737.9823349,1621756
2,2,ETHUSDT,ETH,USDT,TRADING,220928097.098987,1550548
3,10,BNBUSDT,BNB,USDT,TRADING,35778641.31769,372349
4,3,SOLUSDT,SOL,USDT,TRADING,163797280.10861,691807
5,9,XRPUSDT,XRP,USDT,TRADING,51796446.31264,281836
6,29,ADAUSDT,ADA,USDT,TRADING,11696590.7146,50030
